requested_category,actual_category,product_name,price
PIZZA,PIZZA,BBQ CHICKEN PIZZA ,259
PIZZA,PIZZA,CHICKEN CORN PIZZA,259
PIZZA,PIZZA,CHICKEN PANNER PIZZA,259
PIZZA,PIZZA,CHICKEN PIZZA,259
PIZZA,PIZZA,GARDEN VEG PIZZA,229
PIZZA,PIZZA,ITALIAN CHICKEN PIZZA,259
PIZZA,PIZZA,ITALIAN PANNEER PIZZA,239
PIZZA,PIZZA,PERI PERI CHICKEN PIZZA,259
PIZZA,PIZZA,SPICY PANNEER PIZZA,239
PIZZA,PIZZA,ULTIMATE CHICKEN PIZZA,259
PIZZA,PIZZA,ULTIMATE VEG PIZZA,229
SANDWICH,SANDWICHES,BBQ CHICKEN SANDWICH,129
SANDWICH,SANDWICHES,CHICKEN BURGER,129
SANDWICH,SANDWICHES,CHICKEN SANDWICH,129
SANDWICH,SANDWICHES,CHILLI CHEESE SANDWICH,119
SANDWICH,SANDWICHES,CHILLI CHICKEN SANDWICH,129
SANDWICH,SANDWICHES,MUSHROOM SANDWICH,119
SANDWICH,SANDWICHES,PANNEER SANDWICH,119
SANDWICH,SANDWICHES,ULTIMATE CHICKEN SANDWICH,129
SANDWICH,SANDWICHES,VEG BURGER,119
SANDWICH,SANDWICHES,VEG SANDWICH,119
FRIED,FRIED ITEMS,CHICKEN LOLLIPOP,199
FRIED,FRIED ITEMS,CHICKEN MOMOS,120
FRIED,FRIED ITEMS,CHICKEN NUGGETS,130
FRIED,FRIED ITEMS,CHICKEN POPCORN,130
FRIED,FRIED ITEMS,CHICKEN STRIPES 3PCS,160
FRIED,FRIED ITEMS,CHICKEN STRIPES 6PCS,260
FRIED,FRIED ITEMS,FRENCH FRIES,70
FRIED,FRIED ITEMS,FRIED CHICKEN 3PCS,180
FRIED,FRIED ITEMS,FRIED CHICKEN 6PCS,320
FRIED,FRIED ITEMS,French Fried Chicken,249
FRIED,FRIED ITEMS,Fried Chicken Burger,180
FRIED,FRIED ITEMS,KATHI ROLL,140
FRIED,FRIED ITEMS,MUSHROOM MOMOS,110
FRIED,FRIED ITEMS,PANEER KATHI ROLL,130
FRIED,FRIED ITEMS,PANEER MOMOS,110
FRIED,FRIED ITEMS,PANNEER MOMOS,110
FRIED,FRIED ITEMS,PUPPET CHICKEN,229
FRIED,FRIED ITEMS,SMILEYS,70
